                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5298,                 4.8913,                 3.3311,                      0,                      0,                      0,                      0,                   3.96,                 5.0628,                 2.1517,                    0.1,                      0,                      0
                      2,                 3.0044,                 4.1633,                 2.5191,                      0,                      0,                      0,                      0,                 4.0634,                 5.4762,                 2.3562,                 0.0991,             9.9729e-05,             9.9729e-05
                      3,                 2.8117,                 4.2224,                 2.4518,                      0,                      0,                      0,                      0,                 4.1086,                 4.9897,                 2.5614,               0.098198,             0.00019784,             0.00019784
                      4,                 2.9136,                 3.9752,                 2.4232,                0.00333,                0.33333,                0.00287,                0.00107,                 4.2186,                 5.4847,                 3.0432,               0.097293,             0.00029273,             0.00029273
                      5,                 2.7466,                 3.5875,                 2.0921,                0.00333,                0.33333,                0.00238,                0.00048,                   4.39,                  4.865,                 3.0174,               0.096383,             0.00038288,             0.00038288
                      6,                 2.5853,                 3.9648,                 2.3912,                0.00333,                0.33333,                0.00238,                0.00048,                  4.221,                 5.0341,                 2.8874,               0.095467,             0.00046684,             0.00046684
                      7,                  2.576,                  3.574,                  2.118,                0.00333,                0.33333,                0.00238,                0.00048,                 4.6027,                 4.8932,                 3.2283,               0.094543,             0.00054328,             0.00054328
                      8,                 2.4857,                 3.7186,                 2.1231,                0.00333,                0.33333,                0.00238,                0.00048,                 4.3693,                  4.914,                 3.2158,               0.093611,               0.000611,               0.000611
                      9,                 2.2139,                  3.515,                  2.096,                0.00333,                0.33333,                0.00327,                0.00033,                 4.6979,                  5.373,                 3.7591,               0.092669,             0.00066898,             0.00066898
                     10,                 2.2622,                 3.0653,                 2.0254,                0.00333,                0.33333,                0.00327,                0.00033,                 5.3899,                 5.4714,                 4.8829,               0.091716,             0.00071636,             0.00071636
                     11,                 2.2587,                  2.494,                 2.0564,                0.00333,                0.33333,                0.00327,                0.00033,                 5.4574,                 5.9902,                 5.0926,               0.090752,              0.0007525,              0.0007525
                     12,                 2.2134,                 2.7737,                 2.0657,                0.00333,                0.33333,                0.00327,                0.00033,                 6.1099,                 5.7677,                 5.9169,               0.089777,             0.00077697,             0.00077697
                     13,                 2.1205,                 2.4017,                 1.9415,                0.00333,                0.33333,                0.00327,                0.00033,                 6.0239,                 4.9548,                 5.9559,                0.08879,             0.00078956,             0.00078956
                     14,                 2.2173,                 2.6231,                 2.4357,                0.00333,                0.33333,                0.00327,                0.00033,                 6.0046,                 4.9586,                 6.1867,                0.08779,             0.00079029,             0.00079029
                     15,                 2.2815,                  2.582,                 2.2221,                0.00333,                0.33333,                0.00327,                0.00033,                 6.4347,                 5.0689,                  8.399,               0.086779,             0.00077944,             0.00077944
                     16,                 2.0303,                 2.5299,                 1.9081,                0.00333,                0.33333,                0.00327,                0.00033,                 6.5308,                 5.0367,                 9.6563,               0.085758,              0.0007575,              0.0007575
                     17,                 2.4599,                 3.1505,                 2.6496,                0.00333,                0.33333,                0.00327,                0.00033,                 6.3862,                 5.0728,                  9.085,               0.084725,             0.00072521,             0.00072521
